title,series,rating,language,genres,bookFormat,pages,publisher,awards,numRatings,ratingsByStars,likedPercent,setting,Year,Author,Rating,Num_Customers_Rated,Price
The Very Hungry Caterpillar,,4.3,English,"['Picture Books', 'Childrens', 'Fiction', 'Classics', 'Animals', 'Food', 'Counting', 'Storytime', 'Kids', 'Mathematics']",Board book,26,Puffin Books,['California Young Readers Medal Nominee for Primary (1976)'],396110,"['228021', '90789', '53120', '15051', '9129']",94.0,[],2020,Eric Carle,4.9,30478,0.94
The Wright Brothers,,4.14,English,"['History', 'Biography', 'Nonfiction', 'American History', 'Aviation', 'Audiobook', 'Historical', 'Biography Memoir', 'Science', 'Technology']",Hardcover,320,Simon & Schuster,"['Goodreads Choice Award Nominee for History & Biography (2015)', 'National Aviation Hall of Fame Combs Gates Award - (2016)']",74798,"['32717', '26918', '10171', '2736', '2256']",93.0,[],2015,David McCullough,4.7,6495,16.74
"Thinking, Fast and Slow",,4.16,English,"['Nonfiction', 'Psychology', 'Science', 'Business', 'Economics', 'Self Help', 'Personal Development', 'Philosophy', 'Audiobook', 'Unfinished']",Hardcover,499,"Farrar, Straus and Giroux","['Los Angeles Times Book Prize for Current Interest (2011)', 'Best Book of Ideas Prize Nominee (2012)', 'Samuel Johnson Prize for Non-Fiction Nominee for Longlist (2012)', 'Andrew Carnegie Medal Nominee for Nonfiction (2012)']",309325,"['142837', '99486', '47193', '12650', '7159']",94.0,[],2016,Daniel Kahneman,4.6,14714,15.99
Through My Eyes,,3.94,English,"['Sports', 'Biography', 'Nonfiction', 'Christian', 'Football', 'Autobiography', 'Memoir', 'Inspirational', 'Faith', 'Audiobook']",Hardcover,272,Harper,[],10638,"['4017', '3335', '2244', '691', '351']",90.0,[],2011,Tim Tebow,4.7,813,15.7
To Kill a Mockingbird,To Kill a Mockingbird,4.28,English,"['Classics', 'Fiction', 'Historical Fiction', 'School', 'Literature', 'Young Adult', 'Historical', 'Novels', 'Read For School', 'High School']",Paperback,324,Harper Perennial Modern Classics,"['Pulitzer Prize for Fiction (1961)', 'Audie Award for Classic (2007)', 'National Book Award Finalist for Fiction (1961)', 'Alabama Author Award for Fiction (1961)']",4501075,"['2363896', '1333153', '573280', '149952', '80794']",95.0,"['Maycomb, Alabama (United States)']",2013,Harper Lee,4.8,35375,0.35
"Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers",,4.09,English,"['Business', 'Nonfiction', 'Self Help', 'Personal Development', 'Productivity', 'Psychology', 'Leadership', 'Entrepreneurship', 'Health', 'Philosophy']",Kindle Edition,707,Houghton Mifflin Harcourt,['Goodreads Choice Award Nominee for Nonfiction (2017)'],30133,"['13199', '9800', '4732', '1569', '833']",92.0,[],2017,Timothy Ferriss,4.7,5089,8.79
Turtles All the Way Down,,3.95,English,"['Young Adult', 'Fiction', 'Contemporary', 'Mental Health', 'Romance', 'Audiobook', 'Realistic Fiction', 'Mental Illness', 'Mystery', 'Teen']",Hardcover,286,Dutton Books for Young Readers,"['Lincoln Award Nominee (2020)', 'Goodreads Choice Award Nominee for Young Adult Fiction (2017)', 'Alabama Author Award for Young Adult (2020)', 'Hea Noorteraamat (2018)']",314236,"['104353', '117614', '69075', '17866', '5328']",93.0,"['Indianapolis, Indiana (United States)', 'Indiana (United States)']",2017,John Green,4.6,5894,9.98
Untamed,"Splintered #1.5, 3.5",4.13,English,"['Fantasy', 'Young Adult', 'Retellings', 'Romance', 'Fairy Tales', 'Magic', 'Short Stories', 'Paranormal', 'Fiction', 'Audiobook']",ebook,288,Amulet Books,[],4886,"['2216', '1456', '915', '231', '68']",94.0,[],2020,Glennon Doyle,4.6,32702,15.89
What Happened,,3.92,English,"['Nonfiction', 'Politics', 'Memoir', 'Biography', 'Audiobook', 'History', 'Feminism', 'Biography Memoir', 'Autobiography', 'Womens']",Kindle Edition,512,Simon & Schuster,['Goodreads Choice Award for Memoir & Autobiography (2017)'],53165,"['17257', '21237', '10002', '2556', '2113']",91.0,[],2017,Hillary Rodham Clinton,4.6,5989,18.99
When Breath Becomes Air,,4.36,English,"['Nonfiction', 'Memoir', 'Biography', 'Medicine', 'Medical', 'Audiobook', 'Biography Memoir', 'Autobiography', 'Philosophy', 'Science']",Kindle Edition,208,Random House,"['Pulitzer Prize Nominee for Biography or Autobiography (2017)', 'Wellcome Book Prize Nominee (2017)', 'Goodreads Choice Award for Memoir & Autobiography (2016)', 'Waterstones Book of the Year Nominee (2016)', 'Book of the Month Book of the Year Award Nominee (2016)', 'Jan Michalski Prize Nominee for Longlist (2017)']",415362,"['230251', '125568', '43622', '10017', '5904']",96.0,[],2016,Paul Kalanithi,4.7,16217,14.67
Where the Crawdads Sing,,4.47,English,"['Fiction', 'Historical Fiction', 'Mystery', 'Audiobook', 'Adult', 'Book Club', 'Romance', 'Adult Fiction', 'Historical', 'Coming Of Age']",ebook,384,G.P. Putnam’s Sons,"['Edgar Award Nominee for Best First Novel by an American Author (2019)', 'Goodreads Choice Award Nominee for Historical Fiction (2018)']",975284,"['599977', '270508', '78092', '18729', '7978']",97.0,"['North Carolina Coast (United States)', 'North Carolina (United States)']",2020,Delia Owens,4.8,126619,4.55
Where's Spot?,Spot the Dog,4.1,English,"['Picture Books', 'Childrens', 'Animals', 'Dogs', 'Fiction', 'Storytime', 'Classics', 'Spanish Literature', 'Juvenile', 'Family']",Paperback,24,Puffin,[],16901,"['7764', '4410', '3559', '910', '258']",93.0,[],2020,Eric Hill,4.8,14081,1.23
"Whiskey in a Teacup: What Growing Up in the South Taught Me About Life, Love, and Baking Biscuits",,3.63,English,"['Nonfiction', 'Memoir', 'Audiobook', 'Cookbooks', 'Biography', 'Food', 'Cooking', 'Autobiography', 'Biography Memoir', 'Adult']",Kindle Edition,299,Touchstone,['Goodreads Choice Award Nominee for Nonfiction (2018)'],22951,"['5346', '7488', '7072', '2277', '768']",87.0,[],2018,Reese Witherspoon,4.8,2877,13.87
White Fragility: Why It's So Hard for White People to Talk About Racism,,4.3,English,"['Nonfiction', 'Race', 'Social Justice', 'Anti Racist', 'Politics', 'Audiobook', 'Sociology', 'History', 'Psychology', 'Adult']",Paperback,169,Beacon Press,[],95405,"['47999', '33654', '9954', '2203', '1595']",96.0,[],2020,Robin DiAngelo,4.5,27495,9.6
Wild: From Lost to Found on the Pacific Crest Trail,,4.01,English,"['Nonfiction', 'Memoir', 'Travel', 'Biography', 'Adventure', 'Audiobook', 'Biography Memoir', 'Autobiography', 'Nature', 'Book Club']",Hardcover,315,Knopf,"['Oregon Book Award Nominee for Creative Nonfiction (Finalist) (2013)', 'Indies Choice Book Award for Adult Nonfiction (2013)', 'Puddly Award for Nonfiction (2013)', 'Goodreads Choice Award for Memoir & Autobiography (2012)']",615431,"['221539', '234006', '116838', '30551', '12497']",93.0,['Oregon (United States)'],2012,Cheryl Strayed,4.5,18573,20.09
Wonder,Wonder #1,4.44,English,"['Young Adult', 'Fiction', 'Middle Grade', 'Contemporary', 'Realistic Fiction', 'Childrens', 'School', 'Family', 'Coming Of Age', 'Juvenile']",Hardcover,315,Alfred A. Knopf,"['Josette Frank Award (2013)', 'Texas Bluebonnet Award Nominee (2013)', ""West Australian Young Readers' Book Award (WAYRBA) for Younger Readers (2013)"", ""South Carolina Book Award for Children's Book (2014)"", ""Dorothy Canfield Fisher Children's Book Award (2014)"", ""Charlie May Simon Children's Book Award (2015)"", 'Deutscher Jugendliteraturpreis for Preis der Jugendjury (2014)', 'New Mexico Land of Enchantment Award for Children (2014)', 'California Young Readers Medal for Intermediate (2015)', 'James Cook Book Award Nominee (2013)', ""Judy Lopez Memorial Award for Children's Literature (2013)"", ""Louisiana Young Readers' Choice for Grades 3-5 (2015)"", 'NAIBA Book of the Year for Middle Readers (2012)', ""Waterstones Children's Book Prize for 5-12 years (2013)"", 'Washington State Sasquatch Award Nominee (2015)', 'Bluestem Book Award (2014)', ""Goodreads Choice Award Nominee for Middle Grade & Children's (2012)"", 'Carnegie Medal Nominee (2013)', ""North Carolina Children's Book Award (2014)"", 'Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera independiente (2012)', 'Rhode Island Children’s Book Award (2014)', 'FAB Award Nominee (2014)', ""Rebecca Caudill Young Readers' Book Award (2014)"", 'Hea Lasteraamat (2014)']",733486,"['441112', '202834', '65871', '15235', '8434']",97.0,"['Upper Manhattan, New York (United States)', 'New York City, New York (United States)', 'United States of America', 'New York State (United States)']",2016,R. J. Palacio,4.8,26081,0.35
Yes Please,,3.83,English,"['Nonfiction', 'Memoir', 'Humor', 'Audiobook', 'Biography', 'Comedy', 'Autobiography', 'Biography Memoir', 'Feminism', 'Adult']",Hardcover,329,Dey St.,"['Audie Award for Humor (2015)', 'Grammy Award Nominee for Best Spoken Word Album (2016)', 'Australian Book Industry Award (ABIA) Nominee for International Book (2015)', 'Goodreads Choice Award for Humor (2014)']",430084,"['133258', '148607', '104845', '29072', '14302']",90.0,"['Burlington, Massachusetts (United States)', 'Chicago, Illinois (United States)', 'New York City, New York (United States)']",2014,Amy Poehler,4.3,4487,22.25
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,,3.95,,"['Self Help', 'Nonfiction', 'Personal Development', 'Audiobook', 'Psychology', 'Business', 'Inspirational', 'Adult', 'Unfinished', 'Spirituality']",Paperback,244,Running Press Adult,['Audie Award for Personal Development (2014)'],142136,"['56892', '42514', '26703', '10241', '5786']",89.0,[],2019,Jen Sincero,4.7,20403,1.4
